number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,params_max_df,params_max_ngram,params_min_df,params_penalty,user_attrs_pipeline_path,state
25,0.8939151657313174,2025-08-04 15:00:06.956057,2025-08-04 15:00:08.326886,0 days 00:00:01.370829,0.12704784583614398,,0.8089172015913628,3,2,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_25_pipe.joblib,COMPLETE
26,0.9085413742631853,2025-08-04 15:00:08.444198,2025-08-04 15:00:09.507254,0 days 00:00:01.063056,4.783659169948866,,0.9200877225789492,2,4,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_26_pipe.joblib,COMPLETE
27,0.9069662198649704,2025-08-04 15:00:09.557215,2025-08-04 15:00:10.195455,0 days 00:00:00.638240,0.9941680597933485,,0.9595600105965643,1,1,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_27_pipe.joblib,COMPLETE
28,0.8986575753121628,2025-08-04 15:00:10.241584,2025-08-04 15:00:11.575669,0 days 00:00:01.334085,0.18195274490667737,,0.8365173485744298,3,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_28_pipe.joblib,COMPLETE
29,0.9040453756628447,2025-08-04 15:00:11.625450,2025-08-04 15:01:30.035896,0 days 00:01:18.410446,3.9783374130737426,0.992434932013782,0.7766900713606031,2,2,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_29_pipe.joblib,COMPLETE
30,0.9106251193928486,2025-08-04 15:01:30.088158,2025-08-04 15:01:31.351489,0 days 00:00:01.263331,1.0495245487458773,,0.9144181325923053,3,4,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_30_pipe.joblib,COMPLETE
31,0.8871509246526257,2025-08-04 15:01:31.423482,2025-08-04 15:01:33.652456,0 days 00:00:02.228974,36.26550844222644,,0.9791307406308765,3,5,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_31_pipe.joblib,COMPLETE
32,0.8992823174251554,2025-08-04 15:01:33.695453,2025-08-04 15:02:33.244833,0 days 00:00:59.549380,8.26012305655648,0.6939163520650208,0.9233283599898546,3,4,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_32_pipe.joblib,COMPLETE
33,0.9071938115823657,2025-08-04 15:02:33.307021,2025-08-04 15:02:34.475179,0 days 00:00:01.168158,1.7402233524595467,,0.8233389818482992,3,7,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_33_pipe.joblib,COMPLETE
34,0.9089411574566096,2025-08-04 15:02:34.529940,2025-08-04 15:02:35.537808,0 days 00:00:01.007868,0.703210607712619,,0.8740826775636207,2,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_34_pipe.joblib,COMPLETE
35,0.8833194385641376,2025-08-04 15:02:35.599785,2025-08-04 15:02:36.549946,0 days 00:00:00.950161,0.04703750694464324,,0.9043495008947361,2,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_35_pipe.joblib,COMPLETE
36,0.9057759667007357,2025-08-04 15:02:36.610544,2025-08-04 15:02:37.789998,0 days 00:00:01.179454,0.37801161710878484,,0.8773961327848064,3,4,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_36_pipe.joblib,COMPLETE
37,0.9088414748349254,2025-08-04 15:02:37.829335,2025-08-04 15:02:54.070629,0 days 00:00:16.241294,2.671378382437238,0.8424772088551504,0.9001779778894372,2,5,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_37_pipe.joblib,COMPLETE
38,0.8893047586252788,2025-08-04 15:02:54.113004,2025-08-04 15:02:55.111384,0 days 00:00:00.998380,0.07721974388156466,,0.9418555911660603,2,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_38_pipe.joblib,COMPLETE
39,0.9019293557911159,2025-08-04 15:02:55.162105,2025-08-04 15:02:58.643347,0 days 00:00:03.481242,1.0047555795742418,0.44002044031921456,0.9682003695806424,1,4,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_39_pipe.joblib,COMPLETE
40,0.9053524729661518,2025-08-04 15:02:58.689975,2025-08-04 15:03:00.106880,0 days 00:00:01.416905,7.694538118638148,,0.9143371867938618,3,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_40_pipe.joblib,COMPLETE
41,0.9031470734179899,2025-08-04 15:03:00.155197,2025-08-04 15:03:01.104325,0 days 00:00:00.949128,0.23984653398909128,,0.8834184207107105,2,5,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_41_pipe.joblib,COMPLETE
42,0.8703748310058508,2025-08-04 15:03:01.158181,2025-08-04 15:04:52.276531,0 days 00:01:51.118350,25.714453314822407,0.9934468584742072,0.9373500203977988,3,6,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_42_pipe.joblib,COMPLETE
